percentile,population,raw_rate_above_EUR_cutoff,z_rate_above_EUR_cutoff,expected_EUR_rate,raw_error,z_error
50,AFR,1.0,0.5234493192133132,0.5,0.5,0.02344931921331317
50,AMR,0.9510086455331412,0.5100864553314121,0.5,0.45100864553314124,0.010086455331412059
50,EAS,1.0,0.5059523809523809,0.5,0.5,0.005952380952380931
50,SAS,0.9938650306748467,0.5112474437627812,0.5,0.49386503067484666,0.011247443762781195
60,AFR,1.0,0.405446293494705,0.4,0.6,0.00544629349470499
60,AMR,0.9279538904899135,0.4092219020172911,0.4,0.5279538904899135,0.009221902017291062
60,EAS,1.0,0.4107142857142857,0.4,0.6,0.010714285714285676
60,SAS,0.983640081799591,0.3885480572597137,0.4,0.5836400817995909,0.011451942740286325
70,AFR,1.0,0.3086232980332829,0.30000000000000004,0.7,0.008623298033282878
70,AMR,0.899135446685879,0.31412103746397696,0.30000000000000004,0.5991354466858789,0.014121037463976915
70,EAS,1.0,0.2916666666666667,0.30000000000000004,0.7,0.00833333333333336
70,SAS,0.9713701431492843,0.28629856850715746,0.30000000000000004,0.6713701431492842,0.013701431492842586
80,AFR,1.0,0.19969742813918306,0.19999999999999996,0.8,0.00030257186081689147
80,AMR,0.8184438040345822,0.2017291066282421,0.19999999999999996,0.6184438040345822,0.001729106628242133
80,EAS,1.0,0.1884920634920635,0.19999999999999996,0.8,0.011507936507936467
80,SAS,0.9366053169734151,0.19222903885480572,0.19999999999999996,0.7366053169734151,0.007770961145194238
85,AFR,1.0,0.14674735249621784,0.15000000000000002,0.85,0.00325264750378218
85,AMR,0.7752161383285303,0.1585014409221902,0.15000000000000002,0.6252161383285303,0.008501440922190184
85,EAS,0.998015873015873,0.14484126984126985,0.15000000000000002,0.848015873015873,0.005158730158730168
85,SAS,0.9141104294478528,0.13701431492842536,0.15000000000000002,0.7641104294478528,0.01298568507157466
90,AFR,1.0,0.09228441754916793,0.09999999999999998,0.9,0.007715582450832051
90,AMR,0.7060518731988472,0.0893371757925072,0.09999999999999998,0.6060518731988472,0.010662824207492774
90,EAS,0.998015873015873,0.09325396825396826,0.09999999999999998,0.898015873015873,0.006746031746031722
90,SAS,0.8834355828220859,0.09406952965235174,0.09999999999999998,0.7834355828220859,0.005930470347648237
95,AFR,1.0,0.048411497730711045,0.050000000000000044,0.95,0.0015885022692889994
95,AMR,0.5936599423631124,0.04899135446685879,0.050000000000000044,0.5436599423631123,0.0010086455331412558
95,EAS,0.9940476190476191,0.047619047619047616,0.050000000000000044,0.944047619047619,0.002380952380952428
95,SAS,0.7914110429447853,0.05521472392638037,0.050000000000000044,0.7414110429447852,0.005214723926380324
99,AFR,0.9954614220877458,0.009077155824508321,0.010000000000000009,0.9854614220877458,0.0009228441754916879
99,AMR,0.3631123919308357,0.008645533141210375,0.010000000000000009,0.3531123919308357,0.0013544668587896335
99,EAS,0.9781746031746031,0.005952380952380952,0.010000000000000009,0.9681746031746031,0.004047619047619057
99,SAS,0.523517382413088,0.012269938650306749,0.010000000000000009,0.513517382413088,0.00226993865030674
